学生ID,性别,父母收入,IQ,父母鼓励,升学计划
250,男,34900,91,不鼓励,不计划
251,女,6500,92,不鼓励,不计划
253,女,63540,72,鼓励,不计划
255,男,33500,90,不鼓励,不计划
259,女,73260,128,鼓励,计划
260,女,30960,91,鼓励,不计划
261,男,30780,108,鼓励,不计划
264,男,50380,69,鼓励,计划
267,女,9600,85,不鼓励,不计划
281,男,43100,100,不鼓励,不计划
282,男,39100,73,不鼓励,不计划
283,女,29430,71,鼓励,不计划
284,男,37500,129,不鼓励,不计划
285,女,70400,65,不鼓励,不计划
286,女,19500,95,不鼓励,不计划
287,男,5850,91,鼓励,不计划
288,女,49280,104,鼓励,计划
289,男,74250,94,鼓励,计划
291,女,37800,78,不鼓励,不计划
298,女,61050,104,鼓励,计划
300,男,36600,92,不鼓励,不计划
307,男,38700,105,不鼓励,不计划
308,男,36740,71,鼓励,计划
309,女,13600,92,不鼓励,不计划
312,女,15800,69,不鼓励,不计划
313,女,73920,110,鼓励,计划
316,男,36000,124,鼓励,不计划
317,男,56070,81,鼓励,不计划
319,男,38720,94,鼓励,计划
320,女,68200,133,不鼓励,不计划
323,女,32700,97,不鼓励,不计划
325,男,18300,96,不鼓励,不计划
328,女,64570,89,鼓励,计划
329,女,74140,99,鼓励,计划
332,女,43200,77,不鼓励,不计划
334,女,10300,129,不鼓励,不计划
335,男,55880,113,鼓励,计划
340,女,46000,72,不鼓励,不计划
342,女,44730,101,鼓励,不计划
343,女,47600,97,不鼓励,不计划
345,女,40680,92,鼓励,不计划
349,女,53020,127,鼓励,计划
352,女,30300,96,不鼓励,不计划
353,男,75240,104,鼓励,计划
354,女,65780,104,鼓励,计划
355,女,74400,107,不鼓励,不计划
357,女,33770,108,鼓励,计划
358,女,41500,106,不鼓励,不计划
359,女,17400,73,不鼓励,不计划
360,女,37800,104,不鼓励,不计划
362,女,16900,95,不鼓励,不计划
363,女,18000,81,不鼓励,不计划
365,女,81180,126,鼓励,计划
366,男,7100,107,不鼓励,不计划
369,男,5000,102,不鼓励,不计划
370,女,59290,90,鼓励,计划
371,男,41490,107,鼓励,不计划
372,男,10230,88,鼓励,计划
373,男,33990,108,鼓励,计划
376,男,11330,69,鼓励,计划
378,女,38790,62,鼓励,不计划
379,男,51040,102,鼓励,计划
380,女,19800,127,不鼓励,不计划
381,女,11700,140,不鼓励,不计划
382,女,35400,106,不鼓励,不计划
383,女,33200,108,不鼓励,不计划
384,男,13950,136,鼓励,不计划
386,女,35300,98,不鼓励,计划
390,男,25600,63,不鼓励,不计划
391,男,6400,88,不鼓励,不计划
392,男,42300,93,鼓励,不计划
395,女,46900,107,不鼓励,不计划
397,男,60480,112,鼓励,不计划
398,女,11900,96,不鼓励,不计划
400,女,36180,123,鼓励,不计划
404,女,61700,91,不鼓励,不计划
405,女,26500,64,不鼓励,不计划
407,女,51260,140,鼓励,计划
408,男,28500,87,不鼓励,不计划
409,男,51700,127,鼓励,计划
412,女,77550,98,鼓励,计划
414,女,21800,61,不鼓励,不计划
417,男,44880,125,鼓励,计划
420,男,40100,91,不鼓励,不计划
421,男,37890,100,鼓励,不计划
423,女,52110,105,鼓励,不计划
429,男,49060,103,鼓励,计划
430,男,69190,109,鼓励,计划
431,女,77000,135,鼓励,计划
432,男,71000,100,不鼓励,不计划
433,男,65250,64,鼓励,不计划
434,男,17550,139,鼓励,不计划
435,女,41800,109,不鼓励,不计划
436,男,80300,95,鼓励,计划
437,男,35280,96,鼓励,不计划
438,女,31800,98,不鼓励,不计划
439,男,19170,75,鼓励,不计划
441,男,69520,129,鼓励,计划
446,女,34600,66,不鼓励,不计划
448,男,39150,96,鼓励,不计划
449,男,46350,95,鼓励,不计划
451,女,12700,97,不鼓励,不计划
453,女,52580,123,鼓励,计划
455,女,30100,98,不鼓励,不计划
456,女,40500,91,不鼓励,不计划
466,女,48900,95,不鼓励,不计划
468,男,44100,126,鼓励,不计划
469,女,34000,61,不鼓励,不计划
470,男,21000,74,不鼓励,不计划
471,男,42840,95,鼓励,不计划
476,女,47200,73,不鼓励,不计划
478,男,32580,99,鼓励,不计划
479,男,18270,121,鼓励,不计划
485,女,14300,117,不鼓励,不计划
486,女,59200,133,不鼓励,不计划
488,男,57510,126,鼓励,不计划
489,男,20900,74,不鼓励,不计划
491,女,59040,79,鼓励,不计划
492,女,58400,122,不鼓励,计划
497,男,24400,62,不鼓励,不计划
498,女,26500,94,不鼓励,不计划
504,男,76780,80,鼓励,计划
506,女,32900,109,不鼓励,不计划
507,女,64350,97,鼓励,不计划
508,女,35300,114,不鼓励,不计划
510,男,44500,94,不鼓励,不计划
511,女,62300,73,不鼓励,不计划
513,男,28080,123,鼓励,不计划
514,女,18100,106,不鼓励,不计划
518,男,19910,61,鼓励,计划
523,男,37980,92,鼓励,不计划
528,女,25500,68,不鼓励,不计划
529,男,60030,110,鼓励,不计划
531,男,60170,97,鼓励,计划
532,女,34800,105,不鼓励,不计划
534,女,13300,101,不鼓励,不计划
538,女,16600,88,不鼓励,不计划
539,女,9400,109,不鼓励,不计划
543,男,64020,115,鼓励,计划
544,女,52030,127,鼓励,计划
548,男,46800,79,不鼓励,不计划
549,女,18100,77,不鼓励,不计划
551,男,41700,106,不鼓励,不计划
554,男,29810,107,鼓励,计划
555,女,16390,68,鼓励,计划
560,男,36300,109,鼓励,计划
561,男,6930,93,鼓励,不计划
562,男,42100,62,不鼓励,不计划
564,男,13800,60,不鼓励,不计划
565,男,37600,97,不鼓励,不计划
567,男,13600,131,不鼓励,不计划
569,男,39160,91,鼓励,计划
570,女,34830,75,鼓励,不计划
572,女,60170,136,鼓励,计划
575,女,38940,94,鼓励,计划
576,女,47610,72,鼓励,不计划
579,女,11700,105,不鼓励,不计划
582,女,68310,98,鼓励,计划
584,男,42400,92,不鼓励,不计划
585,女,28600,98,不鼓励,不计划
586,女,31700,78,不鼓励,不计划
588,男,42700,98,不鼓励,不计划
590,女,6390,94,鼓励,不计划
596,男,31500,86,不鼓励,不计划
597,男,65560,115,鼓励,计划
598,男,69600,104,不鼓励,不计划
599,男,81180,110,鼓励,计划
602,男,8000,97,不鼓励,不计划
603,女,53900,94,不鼓励,计划
604,男,25630,97,鼓励,计划
605,男,64130,99,鼓励,计划
606,男,65560,75,鼓励,计划
609,女,51480,129,鼓励,不计划
610,女,39240,136,鼓励,不计划
612,女,35200,91,不鼓励,不计划
613,女,39000,79,不鼓励,不计划
614,女,45600,106,不鼓励,不计划
615,女,6800,68,不鼓励,不计划
616,女,33390,84,鼓励,不计划
618,女,48840,101,鼓励,计划
621,女,48780,113,鼓励,不计划
622,男,33120,97,鼓励,不计划
623,男,60170,94,鼓励,计划
624,男,43100,102,不鼓励,不计划
627,女,27700,102,不鼓励,不计划
630,女,35600,91,不鼓励,不计划
635,女,72490,101,鼓励,计划
637,女,44200,62,不鼓励,不计划
638,女,27000,109,不鼓励,不计划
642,女,67600,65,不鼓励,不计划
643,女,47410,130,鼓励,计划
646,男,33440,114,鼓励,计划
648,男,58300,121,鼓励,计划
649,男,39690,107,鼓励,不计划
651,女,57090,118,鼓励,计划
653,女,61380,127,鼓励,计划
657,女,31050,95,鼓励,不计划
658,女,43560,100,鼓励,不计划
660,女,48400,76,不鼓励,不计划
664,女,9500,65,不鼓励,不计划
665,女,39600,70,不鼓励,不计划
666,女,30700,71,不鼓励,不计划
667,男,62550,98,鼓励,不计划
669,男,26100,69,不鼓励,不计划
670,女,64130,137,鼓励,计划
673,女,64240,108,鼓励,计划
674,男,33120,101,鼓励,不计划
675,女,44000,115,鼓励,计划
678,男,35820,106,鼓励,不计划
679,女,40920,107,鼓励,计划
680,男,65890,103,鼓励,计划
682,男,66000,121,鼓励,计划
683,男,38500,109,不鼓励,不计划
684,女,43400,108,不鼓励,不计划
685,女,38000,66,不鼓励,不计划
687,女,54450,134,鼓励,计划
690,男,16100,88,不鼓励,不计划
691,男,43000,81,不鼓励,不计划
692,男,29600,73,不鼓励,不计划
693,男,25190,136,鼓励,计划
696,男,33770,63,鼓励,计划
698,男,82170,108,鼓励,计划
699,男,43560,74,鼓励,不计划
702,男,17400,76,不鼓励,不计划
706,女,53680,107,鼓励,计划
708,男,33700,65,不鼓励,不计划
711,女,37400,92,不鼓励,不计划
712,男,68530,97,鼓励,计划
714,男,47190,111,鼓励,计划
717,男,51810,139,鼓励,计划
719,女,46800,108,鼓励,不计划
723,女,41760,101,鼓励,不计划
724,男,42800,86,不鼓励,不计划
725,男,55990,117,鼓励,计划
726,男,55000,93,鼓励,计划
727,女,37710,79,鼓励,不计划
729,女,49940,103,鼓励,计划
730,男,15600,93,不鼓励,不计划
731,男,74250,104,鼓励,计划
733,女,29700,96,不鼓励,不计划
736,女,43300,106,不鼓励,不计划
737,男,43010,102,鼓励,计划
739,女,36300,93,不鼓励,不计划
741,女,35550,119,鼓励,不计划
742,男,57240,81,鼓励,不计划
743,女,37700,94,不鼓励,计划
746,女,30000,107,不鼓励,不计划
747,女,41300,110,不鼓励,不计划
748,女,67320,97,鼓励,计划
754,女,43470,104,鼓励,不计划
756,女,41700,104,不鼓励,不计划
757,男,44190,135,鼓励,不计划
763,女,43100,102,不鼓励,不计划
764,男,51040,124,鼓励,计划
768,男,53680,104,鼓励,计划
770,女,36200,73,不鼓励,不计划
774,女,51590,110,鼓励,计划
776,女,28710,74,鼓励,不计划
777,女,66600,95,不鼓励,不计划
778,男,56070,97,鼓励,不计划
779,女,10100,94,不鼓励,不计划
781,女,60120,107,鼓励,不计划
782,女,79750,129,鼓励,计划
783,男,44990,121,鼓励,计划
786,男,32300,72,不鼓励,不计划
788,男,39780,92,鼓励,不计划
789,男,78100,103,鼓励,计划
791,女,22500,86,不鼓励,不计划
792,女,26500,81,不鼓励,不计划
793,女,30300,95,不鼓励,不计划
794,男,37350,104,鼓励,不计划
795,女,45900,70,不鼓励,不计划
796,女,26000,106,不鼓励,不计划
799,男,39330,114,鼓励,不计划
800,女,44550,85,鼓励,不计划
802,男,37620,94,鼓励,计划
804,男,39200,72,不鼓励,不计划
809,女,33400,120,不鼓励,不计划
810,女,64570,104,鼓励,计划
811,女,34600,110,不鼓励,不计划
813,女,67800,102,不鼓励,不计划
815,女,72100,111,不鼓励,不计划
816,男,38970,62,鼓励,不计划
817,女,79860,104,鼓励,计划
818,男,37350,138,鼓励,不计划
820,女,18500,102,不鼓励,不计划
831,男,30000,88,不鼓励,不计划
833,男,52360,94,鼓励,计划
836,女,42460,130,鼓励,计划
840,男,26730,101,鼓励,不计划
841,男,16720,125,鼓励,计划
844,女,14100,62,不鼓励,不计划
847,男,39930,98,鼓励,计划
848,女,65610,95,鼓励,不计划
849,男,75900,118,鼓励,计划
853,男,40600,97,不鼓励,不计划
854,女,35200,91,不鼓励,不计划
864,男,61270,140,鼓励,计划
865,男,36000,61,不鼓励,不计划
866,男,72270,115,鼓励,计划
868,男,69000,98,不鼓励,不计划
869,女,47900,100,不鼓励,计划
870,男,38700,108,不鼓励,不计划
872,女,43500,126,不鼓励,不计划
874,女,29160,102,鼓励,不计划
875,女,63630,73,鼓励,不计划
877,女,38200,78,不鼓励,不计划
880,男,75900,93,鼓励,计划
881,女,61650,111,鼓励,不计划
884,男,49500,100,鼓励,不计划
885,男,31700,65,不鼓励,不计划
886,女,30300,82,不鼓励,不计划
887,男,42600,121,不鼓励,不计划
888,男,38880,98,鼓励,不计划
889,男,35500,100,不鼓励,计划
895,男,75020,118,鼓励,计划
900,女,6200,91,不鼓励,不计划
902,女,68970,114,鼓励,计划
905,男,44370,95,鼓励,不计划
907,女,32900,65,不鼓励,计划
908,男,50930,126,鼓励,计划
909,男,39330,110,鼓励,不计划
910,女,30200,76,不鼓励,不计划
917,女,30330,98,鼓励,不计划
918,男,72380,127,鼓励,计划
922,女,60940,117,鼓励,计划
924,男,56980,80,鼓励,计划
927,女,30800,98,不鼓励,不计划
928,男,42350,90,鼓励,计划
930,男,14800,100,不鼓励,不计划
932,女,68200,110,不鼓励,不计划
933,男,55110,101,鼓励,计划
934,女,33500,95,不鼓励,不计划
935,女,23100,104,不鼓励,不计划
937,男,33110,107,鼓励,计划
938,女,43470,96,鼓励,不计划
942,女,46500,68,不鼓励,不计划
944,男,35200,86,不鼓励,不计划
945,女,68530,110,鼓励,计划
951,男,60120,136,鼓励,不计划
953,男,44820,98,鼓励,不计划
958,女,10000,87,不鼓励,不计划
963,男,38830,101,鼓励,计划
964,男,72700,92,不鼓励,计划
965,女,40680,79,鼓励,不计划
966,男,54670,128,鼓励,计划
967,女,44880,93,鼓励,计划
969,男,40900,99,不鼓励,不计划
970,女,27400,90,不鼓励,不计划
971,男,39200,86,不鼓励,不计划
973,男,34700,78,不鼓励,不计划
974,男,34800,92,不鼓励,不计划
978,女,34500,89,不鼓励,不计划
979,男,79970,105,鼓励,计划
980,女,31230,97,鼓励,不计划
981,女,28600,72,不鼓励,不计划
983,女,65780,102,鼓励,计划
985,男,49060,81,鼓励,计划
988,女,33930,117,鼓励,不计划
991,女,32310,104,鼓励,不计划
992,男,35100,69,不鼓励,不计划
994,女,34000,93,不鼓励,不计划
996,女,28490,89,鼓励,计划
998,男,69850,108,鼓励,计划
999,男,57420,108,鼓励,计划
1001,女,81400,106,鼓励,计划
1003,男,46200,79,不鼓励,不计划
1004,女,12900,131,不鼓励,不计划
1005,男,67430,107,鼓励,计划
1006,女,51810,109,鼓励,计划
1013,女,49410,92,鼓励,不计划
1014,女,12200,97,不鼓励,不计划
1015,男,81400,96,鼓励,计划
1019,男,82060,102,鼓励,计划
1022,男,12700,92,不鼓励,不计划
1023,女,80190,134,鼓励,计划
1026,女,66990,131,鼓励,计划
1027,女,31900,98,不鼓励,不计划
1033,男,70730,124,鼓励,计划
1035,女,47300,110,鼓励,计划
1038,女,44440,121,鼓励,计划
1040,女,48780,97,鼓励,不计划
1041,男,44280,104,鼓励,不计划
1044,男,55620,104,鼓励,不计划
1048,男,44990,109,鼓励,计划
1049,男,40200,96,不鼓励,不计划
1050,女,47100,91,不鼓励,不计划
1054,男,5700,104,不鼓励,不计划
1058,男,72710,117,鼓励,计划
1061,男,20000,91,不鼓励,不计划
1062,女,31800,95,不鼓励,不计划
1063,男,30100,117,不鼓励,不计划
1066,女,78320,102,鼓励,计划
1068,男,44600,65,不鼓励,不计划
1069,男,15900,106,不鼓励,不计划
1073,男,48000,96,不鼓励,不计划
1074,女,39000,69,不鼓励,不计划
1075,女,39500,91,不鼓励,不计划
1078,男,31500,98,不鼓励,不计划
1081,男,33750,105,鼓励,不计划
1087,男,40300,97,不鼓励,不计划
1088,女,32800,94,不鼓励,不计划
1091,男,28800,107,不鼓励,不计划
1092,男,17550,101,鼓励,不计划
1093,男,26000,86,不鼓励,不计划
1094,男,61050,124,鼓励,计划
1096,男,63580,97,鼓励,计划
1099,女,29000,88,不鼓励,不计划
1100,男,16200,94,不鼓励,不计划
1103,男,27400,64,不鼓励,不计划
1104,男,36400,109,不鼓励,不计划
1106,男,39160,112,鼓励,计划
1107,女,44200,109,不鼓励,计划
1108,男,39930,104,鼓励,计划
1115,男,59900,105,不鼓励,不计划
1117,女,54010,119,鼓励,计划
1120,男,45300,139,不鼓励,不计划
1121,男,62730,101,鼓励,不计划
1122,男,48500,92,不鼓励,不计划
1125,男,32500,91,不鼓励,不计划
1127,男,61930,118,鼓励,计划
1129,女,45650,126,鼓励,计划
1130,男,40920,77,鼓励,计划
1132,男,39160,126,鼓励,计划
1133,男,33100,84,不鼓励,不计划
1136,男,55700,102,不鼓励,不计划
1137,女,47070,124,鼓励,不计划
1138,女,66110,115,鼓励,计划
1140,男,19300,138,不鼓励,不计划
1141,女,36900,65,不鼓励,不计划
1144,女,37620,76,鼓励,不计划
1145,女,50050,120,鼓励,计划
1146,女,44820,92,鼓励,不计划
1147,男,32200,132,不鼓励,计划
1148,女,34400,104,不鼓励,不计划
1149,男,17400,97,不鼓励,不计划
1152,女,38830,104,鼓励,计划
1155,女,45100,93,不鼓励,不计划
1158,女,44900,93,不鼓励,计划
1159,女,36800,97,不鼓励,不计划
1161,女,21300,109,不鼓励,不计划
1162,男,40700,105,鼓励,计划
1163,女,19140,102,鼓励,计划
1164,女,5500,78,不鼓励,不计划
1165,女,39300,87,不鼓励,计划
1167,男,59510,98,鼓励,计划
1171,男,38800,64,不鼓励,不计划
1173,男,24400,117,不鼓励,不计划
1174,男,52580,106,鼓励,计划
1175,女,57530,140,鼓励,计划
1181,女,52360,113,鼓励,计划
1182,男,37350,123,鼓励,不计划
1184,女,36990,134,鼓励,不计划
1188,女,10200,97,不鼓励,不计划
1192,女,7200,87,不鼓励,不计划
1194,女,19700,74,不鼓励,不计划
1195,女,44900,110,不鼓励,不计划
1199,女,30200,83,不鼓励,不计划
1200,女,24500,75,不鼓励,不计划
1202,女,12400,63,不鼓励,计划
1203,女,30420,93,鼓励,不计划
1205,女,36200,95,不鼓励,不计划
1206,女,47700,83,不鼓励,不计划
1212,女,61710,96,鼓励,计划
1220,女,34290,75,鼓励,不计划
1221,男,8300,67,不鼓励,不计划
1225,女,36300,126,不鼓励,不计划
1229,男,33210,115,鼓励,不计划
1233,男,64680,111,鼓励,计划
1234,女,39000,92,不鼓励,不计划
1238,男,40590,63,鼓励,不计划
1241,女,22900,107,不鼓励,不计划
1242,男,34300,95,不鼓励,不计划
1244,女,13400,109,不鼓励,不计划
1246,男,57640,123,鼓励,计划
1247,女,12600,94,不鼓励,不计划
1249,女,36800,117,不鼓励,不计划
1252,女,62150,135,鼓励,计划
1253,女,24900,76,不鼓励,不计划
1254,女,53570,118,鼓励,计划
1259,女,42200,105,不鼓励,不计划
1260,男,61290,92,鼓励,不计划
1262,男,38900,75,不鼓励,不计划
1263,男,41670,107,鼓励,不计划
1264,男,64350,104,鼓励,计划
1265,男,46090,132,鼓励,计划
1266,女,38970,97,鼓励,不计划
1267,男,40590,115,鼓励,不计划
1268,女,82060,99,鼓励,计划
1269,男,50380,109,鼓励,计划
1271,男,33500,80,不鼓励,不计划
1274,男,28400,90,不鼓励,不计划
1275,男,33210,105,鼓励,不计划
1277,男,25000,91,不鼓励,不计划
1278,女,30700,66,不鼓励,不计划
1284,女,63580,130,鼓励,计划
1285,女,36900,65,鼓励,不计划
1286,女,8800,72,不鼓励,不计划
1287,女,21600,116,不鼓励,不计划
1289,男,36630,102,鼓励,计划
1290,男,27500,71,不鼓励,不计划
1293,女,27800,100,不鼓励,不计划
1294,男,39780,62,鼓励,不计划
1301,女,44200,134,不鼓励,计划
1303,女,32490,87,鼓励,不计划
1307,女,34380,95,鼓励,不计划
1308,女,45650,101,鼓励,计划
1309,男,55110,96,鼓励,计划
1312,女,33300,91,不鼓励,不计划
1317,女,8100,95,不鼓励,不计划
1318,男,14490,60,鼓励,不计划
1320,男,44550,115,鼓励,不计划
1323,女,22100,101,不鼓励,不计划
1326,女,31800,62,不鼓励,不计划
1327,女,30300,81,不鼓励,不计划
1330,女,72160,95,鼓励,计划
1332,男,76670,111,鼓励,计划
1334,男,30960,109,鼓励,不计划
1337,女,49280,79,鼓励,计划
1338,女,73040,139,鼓励,计划
1340,女,49500,134,不鼓励,不计划
1341,女,48700,85,不鼓励,不计划
1344,女,6700,95,不鼓励,不计划
1347,女,38800,109,不鼓励,不计划
1351,男,37350,105,鼓励,不计划
1354,男,11200,69,不鼓励,不计划
1356,男,42200,87,不鼓励,不计划
1357,女,22000,88,不鼓励,不计划
1361,女,15300,70,不鼓励,不计划
1364,男,8010,92,鼓励,不计划
1366,男,34300,116,不鼓励,不计划
1368,男,37900,94,不鼓励,不计划
1370,女,20900,106,不鼓励,不计划
1373,女,17460,70,鼓励,不计划
1374,男,45760,108,鼓励,计划
1380,男,52580,111,鼓励,计划
1381,男,50270,125,鼓励,计划
1382,女,34200,102,鼓励,不计划
1388,男,58100,95,不鼓励,不计划
1389,女,58520,101,鼓励,计划
1390,女,43800,67,不鼓励,不计划
1396,女,56790,108,鼓励,不计划
1397,男,34700,73,不鼓励,不计划
1407,男,48600,92,不鼓励,不计划
1408,女,21000,76,不鼓励,不计划
1410,男,24200,107,不鼓励,不计划
1411,男,36270,97,鼓励,不计划
1414,男,29600,111,不鼓励,不计划
1415,女,9300,92,不鼓励,不计划
1416,男,51810,106,鼓励,计划
1420,女,37400,91,鼓励,计划
1421,女,74360,138,鼓励,计划
1423,男,13500,102,不鼓励,不计划
1424,男,39960,75,鼓励,不计划
1425,女,68420,86,鼓励,计划
1426,男,47190,79,鼓励,计划
1427,女,11900,81,不鼓励,不计划
1429,男,73920,102,鼓励,计划
1430,男,39160,112,鼓励,计划
1431,女,39690,118,鼓励,不计划
1433,男,45760,119,鼓励,计划
1436,女,8690,105,鼓励,计划
1437,男,6480,93,鼓励,不计划
1439,女,80850,138,鼓励,计划
1440,女,34900,86,不鼓励,不计划
1442,女,47630,67,鼓励,计划
1444,女,29700,91,不鼓励,不计划
1446,女,34100,97,不鼓励,计划
1447,男,42300,106,不鼓励,不计划
1452,男,43000,99,不鼓励,不计划
1453,女,15000,86,不鼓励,不计划
1455,男,37600,101,不鼓励,不计划
1456,女,16200,103,不鼓励,不计划
1457,男,34700,62,不鼓励,不计划
1458,女,37200,136,不鼓励,不计划
1459,女,46100,72,不鼓励,不计划
1460,男,56760,112,鼓励,计划
1462,女,39200,89,不鼓励,不计划
1463,男,51390,130,鼓励,不计划
1465,女,32000,78,不鼓励,不计划
1467,女,27400,102,不鼓励,不计划
1468,女,27720,107,鼓励,不计划
1472,女,59490,90,鼓励,不计划
1474,女,55000,93,不鼓励,不计划
1476,女,13600,134,不鼓励,不计划
1477,女,28530,65,鼓励,不计划
1478,女,48730,94,鼓励,计划
1479,男,16400,94,不鼓励,不计划
1480,女,22200,73,不鼓励,不计划
1481,女,37620,91,鼓励,不计划
1485,女,19500,96,不鼓励,不计划
1488,女,7100,98,不鼓励,不计划
1489,男,73800,103,不鼓励,计划
1491,女,20800,107,不鼓励,不计划
1492,女,24800,91,不鼓励,不计划
1496,女,9500,109,不鼓励,不计划
1497,女,14300,131,不鼓励,不计划
1498,女,13800,81,不鼓励,不计划
1499,男,17800,80,不鼓励,不计划
1500,男,42210,103,鼓励,不计划
1502,男,41400,93,不鼓励,不计划
1503,男,35400,79,不鼓励,不计划
1504,男,43890,139,鼓励,计划
1505,男,56900,135,不鼓励,计划
1509,女,46400,94,不鼓励,不计划
1510,女,48900,100,不鼓励,不计划
1513,女,48800,130,不鼓励,计划
1517,男,41200,78,不鼓励,不计划
1518,女,48730,114,鼓励,计划
1519,男,65890,101,鼓励,计划
1520,男,37350,64,鼓励,不计划
1522,女,39600,77,不鼓励,不计划
1523,女,5200,94,不鼓励,不计划
1524,男,27720,97,鼓励,计划
1525,男,52800,99,不鼓励,不计划
1529,男,76450,94,鼓励,计划
1530,男,46970,102,鼓励,计划
1532,男,76560,104,鼓励,计划
1533,女,56210,93,鼓励,计划
1536,女,78980,113,鼓励,计划
1537,男,30900,84,不鼓励,不计划
1544,男,79530,135,鼓励,计划
1545,女,36300,134,鼓励,计划
1549,女,32600,66,不鼓励,不计划
1550,女,27360,64,鼓励,不计划
1551,女,34500,72,不鼓励,不计划
1554,男,44330,101,鼓励,计划
1555,女,9300,78,不鼓励,不计划
1556,女,32100,92,不鼓励,不计划
1557,男,52000,106,不鼓励,不计划
1560,男,32310,100,鼓励,不计划
1561,女,76230,103,鼓励,计划
1562,男,59070,91,鼓励,计划
1564,男,47400,130,不鼓励,计划
1567,女,15100,76,不鼓励,不计划
1573,女,33600,109,不鼓励,不计划
1580,男,30510,105,鼓励,不计划
1581,女,39700,124,不鼓励,计划
1582,男,38390,96,鼓励,计划
1583,女,46090,89,鼓励,计划
1585,男,27450,73,鼓励,不计划
1586,男,61160,109,鼓励,计划
1588,女,29250,67,鼓励,不计划
1590,男,61160,107,鼓励,计划
1593,女,74580,132,鼓励,计划
1594,女,31100,103,不鼓励,不计划
1595,男,41760,77,鼓励,不计划
1597,男,59400,121,鼓励,计划
1598,男,45700,71,不鼓励,不计划
1600,女,36900,109,鼓励,不计划
1605,男,45990,124,鼓励,不计划
1608,女,57900,117,不鼓励,不计划
1609,男,47200,97,不鼓励,不计划
1610,男,44000,76,不鼓励,不计划
1611,男,31400,68,不鼓励,不计划
1613,男,11160,109,鼓励,不计划
1617,女,30690,120,鼓励,计划
1623,女,31230,63,鼓励,不计划
1624,女,32700,96,不鼓励,不计划
1625,女,59730,102,鼓励,计划
1631,女,54230,140,鼓励,计划
1632,女,24300,96,鼓励,不计划
1633,男,54010,64,鼓励,计划
1634,男,50050,113,鼓励,计划
1635,男,61800,69,不鼓励,不计划
1636,男,61560,100,鼓励,不计划
1637,女,6500,89,不鼓励,不计划
1638,男,9570,74,鼓励,计划
1640,女,12600,89,不鼓励,不计划
1641,女,5300,95,不鼓励,不计划
1642,女,27800,97,不鼓励,不计划
1643,女,43300,70,不鼓励,不计划
1645,女,7500,133,不鼓励,计划
1647,男,62480,124,鼓励,计划
1648,女,17500,64,不鼓励,不计划
1650,女,79310,124,鼓励,计划
1653,女,14000,109,不鼓励,不计划
1654,男,50850,80,鼓励,不计划
1655,女,49060,96,鼓励,计划
1656,女,53300,106,不鼓励,不计划
1659,女,53240,100,鼓励,计划
1660,女,63450,120,鼓励,不计划
1662,男,6900,103,不鼓励,不计划
1663,男,38900,94,不鼓励,不计划
1669,女,47850,84,鼓励,计划
1671,男,9270,94,鼓励,不计划
1673,女,30510,92,鼓励,不计划
1674,男,26550,98,鼓励,不计划
1675,女,40050,103,鼓励,不计划
1679,男,59620,97,鼓励,计划
1682,女,28260,95,鼓励,不计划
1683,女,45300,87,不鼓励,不计划
1687,女,13140,98,鼓励,不计划
1688,女,39800,85,不鼓励,不计划
1691,女,28710,104,鼓励,不计划
1693,女,49500,93,不鼓励,不计划
1694,女,52800,106,鼓励,计划
1696,男,76450,120,鼓励,计划
1697,女,11100,111,不鼓励,不计划
1698,男,21100,69,不鼓励,不计划
1701,男,17200,100,不鼓励,不计划
1702,女,25000,66,不鼓励,不计划
1703,男,45870,121,鼓励,计划
1704,女,41690,108,鼓励,计划
1706,女,31200,73,不鼓励,计划
1708,男,22500,125,鼓励,不计划
1710,女,80410,83,鼓励,计划
1716,男,50700,135,不鼓励,不计划
1717,女,72800,126,不鼓励,不计划
1718,女,30420,108,鼓励,不计划
1722,女,41580,101,鼓励,计划
1723,男,77550,130,鼓励,计划
1726,男,18700,68,不鼓励,不计划
1727,男,69190,120,鼓励,计划
1728,男,71200,88,不鼓励,不计划
1732,女,7100,80,不鼓励,不计划
1734,女,25900,114,不鼓励,不计划
1735,女,18100,95,不鼓励,不计划
1736,女,72380,110,鼓励,计划
1737,女,19100,92,不鼓励,不计划
1740,男,7500,92,不鼓励,不计划
1744,女,66700,103,不鼓励,不计划
1745,男,39000,96,不鼓励,不计划
1748,男,13140,76,鼓励,不计划
1751,女,35000,109,不鼓励,不计划
1753,男,58850,104,鼓励,计划
1754,男,14740,139,鼓励,计划
1755,男,59620,132,鼓励,计划
1759,男,13640,108,鼓励,计划
1761,男,21690,70,鼓励,不计划
1762,女,18400,106,不鼓励,不计划
1764,男,78760,114,鼓励,计划
1765,女,34320,104,鼓励,计划
1766,男,41490,75,鼓励,不计划
1768,女,39960,116,鼓励,不计划
1769,女,29200,140,不鼓励,不计划
1775,男,33500,97,不鼓励,不计划
1776,女,46100,109,不鼓励,不计划
1777,女,72270,69,鼓励,计划
1778,男,39330,110,鼓励,不计划
1780,男,38520,62,鼓励,不计划
1783,男,36270,93,鼓励,不计划
1785,女,53570,106,鼓励,计划
1788,男,17280,80,鼓励,不计划
1792,男,39050,107,鼓励,计划
1794,女,38100,81,不鼓励,不计划
1797,男,15210,95,鼓励,不计划
1798,男,43900,104,不鼓励,不计划
